input,output
"Of the 761 hospitalized patients with COVID-19, the mean age was 47 years, and 385 (51%) were women. Forty-seven patients (6.2%) were fully vaccinated (breakthrough infection), 127 were partially vaccinated (17%), and 587 (77%) were unvaccinated.

The team found fully vaccinated status was linked to a lower risk of requiring supplemental oxygen than unvaccinated status, as well as lower risk of intensive care unit (ICU) admission.","risk_communication: null
single_case_base: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
population_size: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null
topic_and_unit: null"
"In a new study from Cedars-Sinai and CDC, researchers found among those admitted during the omicron surge, vaccinated adults had less severe illness and were less likely to land in intensive care.","risk_communication: null
single_case_base: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
population_size: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null
topic_and_unit: null"
"These findings suggest that two doses of the COVID-19 vaccine protect against long COVID. These results were not found in individuals who received just a single dose.

In the study, the team tested over 3,000 participants.

They showed a 50-80% reduction in seven of the ten most commonly reported long-term symptoms, such as fatigue, headache, weakness and muscle pain, four to 11 months after infection among vaccinated cases compared with unvaccinated ones.","risk_communication: null
single_case_base: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
population_size: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null
topic_and_unit: null"
"The study included 26,683 patients who tested positive for COVID-19, 16% of whom had Delta infections and 84% of whom had Omicron infections, and more than 67,000 individuals who tested negative as a comparison group.

The team found two doses of the Moderna COVID-19 vaccine were 44% effective against Omicron infection within 3 months after vaccination","risk_communication: null
single_case_base: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
population_size: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null
topic_and_unit: null"
"The study included 26,683 patients who tested positive for COVID-19, 16% of whom had Delta infections and 84% of whom had Omicron infections, and more than 67,000 individuals who tested negative as a comparison group.Three doses of the Moderna COVID-19 vaccine within 2 months of vaccination were 94% effective against Delta infection","risk_communication: null
single_case_base: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
population_size: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null
topic_and_unit: null"
"During the study period, 197,535 (6.3 percent) patients were infected with SARS-CoV-2, and of those, 15,786 (8 percent) were admitted to the hospital.

During the study period, the predominant variant was delta, and not omicron.

The team found two-dose vaccine effectiveness against infection declined to 49 percent.","risk_communication: null
single_case_base: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
population_size: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null
topic_and_unit: null"
"In a new study from CDC, researchers found COVID-19 vaccine protection is increased after three doses","risk_communication: null
single_case_base: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
population_size: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null
topic_and_unit: null"
"In a recent study published in Critical Care, researchers found six months after recovering from COVID-19 critical illness, one in five people had died","risk_communication: null
single_case_base: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
population_size: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null
topic_and_unit: null"
"Today’s recommendation is based on new data from six clinical trials involving 4,796 patients. This is the largest dataset on this drug so far.

Evidence from these trials showed that molnupiravir reduces the risk of hospital admission (43 fewer admissions per 1,000 patients at highest risk)","risk_communication: null
single_case_base: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
population_size: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null
topic_and_unit: null"
"In a new study from the University of Sydney, researchers found that some of the most common pain and fever medicines might increase vulnerability to infections like COVID-19","risk_communication: null
single_case_base: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
population_size: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null
topic_and_unit: null"
"In the study, the team examined 412,596 middle-aged UK Biobank participants.

They focused on the relative association of body mass index (BMI) and self-reported walking pace with the risk of contracting severe COVID-19 and COVID-19 mortality.

The analysis found slow walkers of normal weight to be almost 2.5 times more likely to develop severe COVID-19 than normal-weight fast walkers.","risk_communication: null
single_case_base: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
population_size: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null
topic_and_unit: null"
"In the study, the team examined 412,596 middle-aged UK Biobank participants.

They focused on the relative association of body mass index (BMI) and self-reported walking pace with the risk of contracting severe COVID-19 and COVID-19 mortality.

The analysis found slow walkers of normal weight are 3.75 times more likely to die from the virus than normal-weight fast walkers.","risk_communication: null
single_case_base: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
population_size: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null
topic_and_unit: null"
"However, if the women have severe COVID-19 or were diagnosed after childbirth, babies are more likely to test positive.","risk_communication: null
single_case_base: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
population_size: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null
topic_and_unit: null"
Researchers also discovered that vaginal births and breastfeeding do not increase the likelihood of babies testing positive for coronavirus when their mothers have the infection.,"risk_communication: null
single_case_base: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
population_size: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null
topic_and_unit: null"
"A total of 1,364 children ages 5-15 were tested for SARS-CoV-2, the virus that causes COVID-19, weekly from July 25, 2021, to Feb. 12, 2022.

The team found that vaccination with two doses of the Pfizer-BioNTech COVID-19 vaccine reduced the risk of infection with the omicron variant by 31% in children ages 5-11","risk_communication: null
single_case_base: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
population_size: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null
topic_and_unit: null"
"A total of 1,364 children ages 5-15 were tested for SARS-CoV-2, the virus that causes COVID-19, weekly from July 25, 2021, to Feb. 12, 2022.

The team found that vaccination with two doses of the Pfizer-BioNTech COVID-19 vaccine reduced the risk of infection with the omicron variant by 59% in adolescents ages 12-15.","risk_communication: null
single_case_base: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
population_size: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null
topic_and_unit: null"
"A total of 1,364 children ages 5-15 were tested for SARS-CoV-2, the virus that causes COVID-19, weekly from July 25, 2021, to Feb. 12, 2022.
Among unvaccinated children who were infected, children with omicron infections were less likely to report COVID-19 symptoms (49%) than children with delta infections (66%).","risk_communication: null
single_case_base: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
population_size: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null
topic_and_unit: null"
"In the study, the team looked at 343,850 people with an average age of over 60.

They found that the combined influence of both lifestyle and socioeconomic factors further increased the risk of severe disease or death from COVID-19.
","risk_communication: null
single_case_base: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
population_size: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null
topic_and_unit: null"
The researchers then found that giving 30 milligrams of sulforaphane per kilogram of body weight to mice strongly decreased the loss of body weight that’s typically linked to virus infection (7.5% decrease).,"risk_communication: null
single_case_base: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
population_size: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null
topic_and_unit: null"
"A new study from the University of Edinburgh found adults in hospital who have COVID-19 and the flu at the same time are at much greater risk of severe disease and death compared with patients who have COVID-19 alone or with other viruses.

Patients with co-infection of SARS-CoV-2, which causes COVID-19, and influenza viruses were over four times more likely to require ventilation support and 2.4 times more likely to die than if they only had COVID-19.","risk_communication: null
single_case_base: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
population_size: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null
topic_and_unit: null"
"In the study, the team gathered data from more than 89,000 hospitalizations across nine states, making this the largest study of its kind evaluating COVID-19 vaccine effectiveness among immunocompromised people.

They found those mRNA vaccines (manufactured by Pfizer and Moderna) were 90% effective at protecting against COVID-related hospitalization in immunocompetent individuals.","risk_communication: null
single_case_base: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
population_size: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null
topic_and_unit: null"
"In the study, the team gathered data from more than 89,000 hospitalizations across nine states, making this the largest study of its kind evaluating COVID-19 vaccine effectiveness among immunocompromised people.
But the vaccines were only 77% effective in those with suppressed immunity due to a range of health conditions.","risk_communication: null
single_case_base: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
population_size: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null
topic_and_unit: null"
"Scientists from Veru Inc., an oncology biopharmaceutical company, found a novel COVID-19 drug reduces deaths by 55% in patients at high risk for Acute Respiratory Distress Syndrome (ARDS).","risk_communication: null
single_case_base: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
population_size: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null
topic_and_unit: null"
"Scientists from the University of Michigan found that people are 1,000 times more likely to get COVID from the air they breathe than from surfaces they touch.","risk_communication: null
single_case_base: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
population_size: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null
topic_and_unit: null"
"In the study, researchers analyzed the zinc levels of 249 adult patients treated at the center between 9 March and 1 April 2020, with an average age of 65 years.The study reveals that a one-unit increase of zinc in blood plasma is directly linked to a 7% reduction of the risk of dying from COVID-19.","risk_communication: null
single_case_base: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
population_size: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null
topic_and_unit: null"
"The team analyzed the records of more than 636,000 vaccinated patients, including more than 45,000 vaccinated people with cancer.

They found increased risks for COVID-19 breakthrough infection in vaccinated patients with cancer, especially those undergoing active cancer care, with marked variations among specific cancer types.","risk_communication: null
single_case_base: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
population_size: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null
topic_and_unit: null"
"In the study, the team analyzed data from 7 million unvaccinated and vaccinated individuals from 18 peer-reviewed studies published from December 2019 to November 2021.The findings showed that after full vaccination, immunity against COVID-19 infection decreased from 83% after the first month to 22% after five or more months.","risk_communication: null
single_case_base: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
population_size: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null
topic_and_unit: null"
Vaccination via a patch was approximately 11 times more effective at combatting the Omicron variant when compared with the same vaccine administered via a needle.,"risk_communication: null
single_case_base: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
population_size: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null
topic_and_unit: null"
Scientists from Kaiser Permanente found that adults with young kids at home may be less likely than others to develop severe COVID-19.,"risk_communication: null
single_case_base: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
population_size: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null
topic_and_unit: null"
They found adults without kids who had COVID-19 were 49% more likely to be hospitalized than COVID patients who had children ages 5 and under.,"risk_communication: null
single_case_base: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
population_size: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null
topic_and_unit: null"
They found adults without kids who had COVID-19 were 76% more likely to stay in an intensive care unit than COVID patients who had children ages 5 and under.,"risk_communication: null
single_case_base: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
population_size: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null
topic_and_unit: null"
"Scientists from UTHealth in Houston found that influenza vaccination is linked to a reduced Alzheimer’s disease (AD) risk among older U.S. adults.

The research is published in the Journal of Alzheimer’s Disease and was conducted by Avram S. Bukhbinder et al.

In the study, researchers used deidentified claims data to compare the risk for incident AD between patients (aged 65 years and older) with and without prior influenza vaccination.

They found that 5.1 percent of the flu-vaccinated patients and 8.5 percent of the flu-unvaccinated patients developed AD during a median follow-up of 46 months.","risk_communication: null
single_case_base: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
population_size: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null
topic_and_unit: null"
Scientists from Intermountain Medical Center found routine periodic fasting is associated with a lower risk for hospitalization or death in patients with COVID-19.,"risk_communication: null
single_case_base: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
population_size: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null
topic_and_unit: null"
Scientists from the University of Pennsylvania found people hospitalized with COVID-19 are more likely to develop venous thromboembolism—a potentially life-threatening condition—than those hospitalized with influenza.,"risk_communication: null
single_case_base: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
population_size: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null
topic_and_unit: null"
"In the study, the team analyzed data over 90,000 total patients.

Among people hospitalized with influenza, the 90-day absolute risk of developing venous thromboembolism was 5.3%.","risk_communication: null
single_case_base: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
population_size: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null
topic_and_unit: null"
"In the study, the team analyzed data over 90,000 total patients.
For those hospitalized with COVID-19, the 90-day risk was 9.5% before vaccine availability and 10.9% after COVID-19 vaccines became available.","risk_communication: null
single_case_base: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
population_size: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null
topic_and_unit: null"
